dba_sequence_candidate,relative_path,filename,prefix,prefix_status,predecessor,predecessor_confidence,up_export,down_export,tables_created,tables_or_objects_referenced,columns_changed,schema_operation_tags,dependency_references,destructive_operation_tags,constraint_tags,applied_status,applied_status_evidence,dba_review_status,file_sha256,size_bytes
59,backend/migrations/20260411200000-document-version-status-and-rkpd-bab2.js,20260411200000-document-version-status-and-rkpd-bab2.js,20260411200000,ok,20260411150000-add-dpa-derivation-key.js,repository_lexical_order_only,True,True,,,,,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,2f226767d6aac0584759413657f8018b54bd6f65add3c54bcd8e97dd74d4edec,1291
60,backend/migrations/20260411220000-renja-dokumen-is-test.js,20260411220000-renja-dokumen-is-test.js,20260411220000,ok,20260411200000-document-version-status-and-rkpd-bab2.js,repository_lexical_order_only,True,True,,renja_dokumen,renja_dokumen.is_test,add_column|remove_column,,remove_column,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,bef59fef9944ce899bb43e791489b7823705277c284e3c1df89ee0c3024a4982,680
61,backend/migrations/20260412120000-add-indikator-renstra-tahun6-lokasi-pagu.js,20260412120000-add-indikator-renstra-tahun6-lokasi-pagu.js,20260412120000,ok,20260411220000-renja-dokumen-is-test.js,repository_lexical_order_only,True,True,,,,,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,cab237e80e6f75bf69cd7d996bb44f0eb5423488e195b8d608dab3f48efae379,1080
62,backend/migrations/20260412120000-planning-line-item-change-log.js,20260412120000-planning-line-item-change-log.js,20260412120000,ok,20260412120000-add-indikator-renstra-tahun6-lokasi-pagu.js,ambiguous_duplicate_prefix,True,True,planning_line_item_change_log,planning_line_item_change_log,,add_index|create_table|drop_table,,drop_table,index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,7772b37531527161d48eec763d2605ccafc75e78a91e0ed923b4b90887fe4866,1692
63,backend/migrations/20260414180000-create-import-logs.js,20260414180000-create-import-logs.js,20260414180000,ok,20260412120000-planning-line-item-change-log.js,repository_lexical_order_only,True,True,import_logs,import_logs,,add_index|create_table|drop_table,periode_rpjmds|users,drop_table,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,02ffc23a51e0ea25c4f7bac21974ebcdc463221aef806a7f26e7af81315b1cae,1353
64,backend/migrations/20260415100000-create-regulasi-versi.js,20260415100000-create-regulasi-versi.js,20260415100000,ok,20260414180000-create-import-logs.js,repository_lexical_order_only,True,True,regulasi_versi,regulasi_versi,,add_index|create_table|drop_table,,drop_table,index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,cbb91c3af87ad5dbfd6566b098ceda1fb84e50a49f029c8847e27e950340805c,1907
65,backend/migrations/20260415100001-add-regulasi-versi-to-master.js,20260415100001-add-regulasi-versi-to-master.js,20260415100001,ok,20260415100000-create-regulasi-versi.js,repository_lexical_order_only,True,True,,regulasi_versi|of,,raw_sql,regulasi_versi,,foreign_key_reference,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,fa84f89588cebc51c36c48d4669d58b0457bc746301957720c627a287a6f9f82,2863
66,backend/migrations/20260415100002-create-mapping-sub-kegiatan.js,20260415100002-create-mapping-sub-kegiatan.js,20260415100002,ok,20260415100001-add-regulasi-versi-to-master.js,repository_lexical_order_only,True,True,mapping_sub_kegiatan,mapping_sub_kegiatan,,add_index|create_table|drop_table,master_sub_kegiatan|regulasi_versi,drop_table,foreign_key_reference|index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,7515b5a944f5039151503c965432ae80210235bc6aa24366d76e3560478ec2ae,3432
67,backend/migrations/20260415100003-create-mapping-indikator.js,20260415100003-create-mapping-indikator.js,20260415100003,ok,20260415100002-create-mapping-sub-kegiatan.js,repository_lexical_order_only,True,True,mapping_indikator,mapping_indikator,,add_index|create_table|drop_table,mapping_sub_kegiatan|master_indikator|regulasi_versi,drop_table,foreign_key_reference|index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,14e50d8016a157983bae0a3b0a02b49880815c455bf4f50626be44bc68e001e5,3181
68,backend/migrations/20260415110000-production-change-tracking-v2.js,20260415110000-production-change-tracking-v2.js,20260415110000,ok,20260415100003-create-mapping-indikator.js,repository_lexical_order_only,True,True,rkpd_dokumen_version|renja_dokumen_version|rkpd_item_version|renja_item_version|rkpd_renja_cascade_trace,rkpd_dokumen_version|renja_dokumen_version|rkpd_item_version|renja_item_version|rkpd_renja_cascade_trace|planning_line_item_change_log|rkpd_item|renja_item,planning_line_item_change_log.change_type|planning_line_item_change_log.version_before|planning_line_item_change_log.version_after|planning_line_item_change_log.entity_version_id|planning_line_item_change_log.is_active_version|rkpd_item.change_state|rkpd_item.current_rkpd_item_version_id|rkpd_item.pagu_source|rkpd_item.pagu_line_version_id|renja_item.change_state|renja_item.current_renja_item_version_id|renja_item.pagu_source|renja_item.pagu_line_version_id,add_column|add_index|create_table|drop_table|remove_column|remove_index,,drop_table|remove_column|remove_index,index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,2472004ca4f77d4640daa654e0726d36b7b0c30a6b791a0f5e98a90b9918655c,11989
69,backend/migrations/20260415110001-create-indikatorstrategis.js,20260415110001-create-indikatorstrategis.js,20260415110001,ok,20260415110000-production-change-tracking-v2.js,repository_lexical_order_only,True,True,indikatorstrategis,indikatorstrategis|CURRENT_TIMESTAMP,,add_index|create_table|drop_table,periode_rpjmds|strategi,drop_table,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,1aa71bf1e229d06ae4f8aacbeb3cf661e2f3164249bb396e059237d7ce5e0f30,4416
70,backend/migrations/20260415110002-create-indikatorarahkebijakans.js,20260415110002-create-indikatorarahkebijakans.js,20260415110002,ok,20260415110001-create-indikatorstrategis.js,repository_lexical_order_only,True,True,indikatorarahkebijakans,indikatorarahkebijakans|CURRENT_TIMESTAMP,,add_index|create_table|drop_table,arah_kebijakan|periode_rpjmds,drop_table,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,24d4b06890f1d673545aa2a4df4947e0fa0d5ad472cf57d9b12a7f31eb534f9c,4441
71,backend/migrations/20260415110003-create-indikatorsubkegiatans.js,20260415110003-create-indikatorsubkegiatans.js,20260415110003,ok,20260415110002-create-indikatorarahkebijakans.js,repository_lexical_order_only,True,True,indikatorsubkegiatans,indikatorsubkegiatans|CURRENT_TIMESTAMP,,add_index|create_table|drop_table,periode_rpjmds|sub_kegiatan,drop_table,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,1b9eb0829ee76795677cee65aa39c1775edb7bdde16cfb745140ae864087b989,4835
72,backend/migrations/20260415120001-alter-indikator-strategi-arah-subkegiatan-jenis-to-text.js,20260415120001-alter-indikator-strategi-arah-subkegiatan-jenis-to-text.js,20260415120001,ok,20260415110003-create-indikatorsubkegiatans.js,repository_lexical_order_only,True,True,,indikatorstrategis|indikatorarahkebijakans|indikatorsubkegiatans,indikatorstrategis.jenis|indikatorarahkebijakans.jenis|indikatorsubkegiatans.jenis,change_column,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,1cfb6a223d3b16957906d3efd889654bd407bf63f4dd6d2add108045371022e8,913
73,backend/migrations/20260415120002-alter-all-indikator-jenis-to-text.js,20260415120002-alter-all-indikator-jenis-to-text.js,20260415120002,ok,20260415120001-alter-indikator-strategi-arah-subkegiatan-jenis-to-text.js,repository_lexical_order_only,True,True,,indikatorsasarans|indikatorkegiatans|indikatorarahkebijakans|indikatorsubkegiatans,indikatorsasarans.jenis|indikatorkegiatans.jenis|indikatorarahkebijakans.jenis|indikatorsubkegiatans.jenis,change_column,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,af9cd0a68bde0e66fbb21a27d1782c648d0e27c87508009a33bba14cdb02d465,1483
74,backend/migrations/20260415153000-renja-governance-workflow-v3.js,20260415153000-renja-governance-workflow-v3.js,20260415153000,ok,20260415120002-alter-all-indikator-jenis-to-text.js,repository_lexical_order_only,True,True,renja_dokumen_section|renja_revision_log|renja_snapshot,renja_dokumen_section|renja_revision_log|renja_snapshot|renja_dokumen|renja_item|renja_rkpd_item_map,,create_table|drop_table|raw_sql,indikator_renstra|kegiatan|program|renja_dokumen|renja_dokumen_version|renstra_kegiatan|renstra_program|renstra_subkegiatan|rkpd_item|sub_kegiatan,drop_table,foreign_key_reference|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,4ff5a453f303fdfbc668cfdbed24cb9e092f9772f24802816369276f488d5efb,19795
75,backend/migrations/20260415194000-renja-validation-engine.js,20260415194000-renja-validation-engine.js,20260415194000,ok,20260415153000-renja-governance-workflow-v3.js,repository_lexical_order_only,True,True,renja_validation_run|renja_mismatch_result,renja_validation_run|renja_mismatch_result,,add_index|create_table|drop_table,renja_dokumen|renja_item|renja_validation_run,drop_table,foreign_key_reference|index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,2717bcaafc8d755539cbca6a1b049dbb1f5d5ad85c40211c0b80c64321294570,5008
76,backend/migrations/20260415195500-renja-mismatch-navigation-and-trace.js,20260415195500-renja-mismatch-navigation-and-trace.js,20260415195500,ok,20260415194000-renja-validation-engine.js,repository_lexical_order_only,True,True,,,,,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,e279b11f80905626ae762bd6d3e6fc8e39791e70318ed7d15b1b39b062db8055,2489
77,backend/migrations/20260415202000-renja-mismatch-threshold-grouping-fields.js,20260415202000-renja-mismatch-threshold-grouping-fields.js,20260415202000,ok,20260415195500-renja-mismatch-navigation-and-trace.js,repository_lexical_order_only,True,True,,,,,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,49bb409b757218579d63f73f451de55de9d502091d688361f032dc3e3f1d7f34,1870
78,backend/migrations/20260420000001-add-is-import-reference-to-indikatortujuans.js,20260420000001-add-is-import-reference-to-indikatortujuans.js,20260420000001,ok,20260415202000-renja-mismatch-threshold-grouping-fields.js,repository_lexical_order_only,True,True,,indikatortujuans,indikatortujuans.is_import_reference,add_column|raw_sql|remove_column,,remove_column,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,251486bfe8aea7cfaa55bd8e5750cd8bf153a7086c7cb7a0768043da90352799,1563
79,backend/migrations/20260420000002-fix-indikatortujuans-tujuan-id-mapping.js,20260420000002-fix-indikatortujuans-tujuan-id-mapping.js,20260420000002,ok,20260420000001-add-is-import-reference-to-indikatortujuans.js,repository_lexical_order_only,True,True,,tujuan_id|indikatortujuans|tujuan,,raw_sql,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,4d62d922416a734e3c98b6157b37a89454ca8b1e323d142585f197add159b46b,4252
80,backend/migrations/20260420000003-add-reference-target-code-to-indikatortujuans.js,20260420000003-add-reference-target-code-to-indikatortujuans.js,20260420000003,ok,20260420000002-fix-indikatortujuans-tujuan-id-mapping.js,repository_lexical_order_only,True,True,,indikatortujuans,indikatortujuans.reference_target_code,add_column|raw_sql|remove_column,,remove_column,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,b7b76fc03b7c7c974ec0f9f83dd258baf2d2edda065ce2da9a85333c976d9c00,2222
81,backend/migrations/20260420120000-planning-domain-v2-documents.js,20260420120000-planning-domain-v2-documents.js,20260420120000,ok,20260420000003-add-reference-target-code-to-indikatortujuans.js,repository_lexical_order_only,True,True,perangkat_daerah|rpjmd_dokumen|renstra_pd_dokumen|rkpd_dokumen|rkpd_item|renja_dokumen|renja_item|renja_rkpd_item_map,perangkat_daerah|rpjmd_dokumen|renstra_pd_dokumen|rkpd_dokumen|rkpd_item|renja_dokumen|renja_item|renja_rkpd_item_map,,add_index|create_table,perangkat_daerah|periode_rpjmds|renja_dokumen|renja_item|renstra_pd_dokumen|rkpd_dokumen|rkpd_item,,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,670058eef2e453029da81ffbc04d799f43e3b7f371d1201becea9d93b065fb9c,14287
82,backend/migrations/20260421000001-fix-import-raw-id-type-indikatortujuans.js,20260421000001-fix-import-raw-id-type-indikatortujuans.js,20260421000001,ok,20260420120000-planning-domain-v2-documents.js,repository_lexical_order_only,True,True,,indikatortujuans,indikatortujuans.import_raw_id,add_column|raw_sql|remove_column,,raw_destructive_sql|remove_column,unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,2a24721fecba1ba444e93cfdc13f626993439fb023679739865035e1e03e7ad7,2335
83,backend/migrations/20260421120000-fix-indikatortujuans-kode-suffix-to-01.js,20260421120000-fix-indikatortujuans-kode-suffix-to-01.js,20260421120000,ok,20260421000001-fix-import-raw-id-type-indikatortujuans.js,repository_lexical_order_only,True,True,,kode|indikatortujuans|tujuan|kode_indikator,,raw_sql,,,unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,5ab13cfeef763a427f409ed73077716e4b02623047afd52c5d4b0f7870814ced,2236
84,backend/migrations/20260421143000-regulasi-master-transaksi-integration-sprint1.js,20260421143000-regulasi-master-transaksi-integration-sprint1.js,20260421143000,ok,20260421120000-fix-indikatortujuans-kode-suffix-to-01.js,repository_lexical_order_only,True,True,,regulasi_versi|of|program|kegiatan|sub_kegiatan,,raw_sql,master_kegiatan|master_program|master_sub_kegiatan|regulasi_versi|users,,foreign_key_reference,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,dc657c701f6ad39aed5e8d52538f8e3f286f5672b90b600539303cad1655fee8,10702
85,backend/migrations/20260421180000-mapping-sub-kegiatan-applied-metadata.js,20260421180000-mapping-sub-kegiatan-applied-metadata.js,20260421180000,ok,20260421143000-regulasi-master-transaksi-integration-sprint1.js,repository_lexical_order_only,True,True,,,,,users,,foreign_key_reference,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,5ff84e24901a338e048bb49a2d60bc520ac7e7dca68771eb8d5fcef595e3778a,1557
86,backend/migrations/20260421190000-create-mapping-sub-kegiatan-resolution.js,20260421190000-create-mapping-sub-kegiatan-resolution.js,20260421190000,ok,20260421180000-mapping-sub-kegiatan-applied-metadata.js,repository_lexical_order_only,True,True,,,,,mapping_sub_kegiatan|master_sub_kegiatan|users,,foreign_key_reference,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,d7e823ee8e8f65a63c57dd0db69ff83efba3b6e80d142662a0e130ff9aaa77f5,3092
87,backend/migrations/20260422120000-create-app-policy.js,20260422120000-create-app-policy.js,20260422120000,ok,20260421190000-create-mapping-sub-kegiatan-resolution.js,repository_lexical_order_only,True,True,app_policy,app_policy,,create_table|drop_table,users,drop_table,foreign_key_reference|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,eccf68b9a81a21c1c463bb8bfe8e8d635aeddef07440ed7327cd49a75f684266,1798
88,backend/migrations/20260423100000-create-compliance-snapshot-history.js,20260423100000-create-compliance-snapshot-history.js,20260423100000,ok,20260422120000-create-app-policy.js,repository_lexical_order_only,True,True,compliance_snapshot_history,compliance_snapshot_history,,add_index|create_table|drop_table,users,drop_table,foreign_key_reference|index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,f7afe166b70980fd2a44dcf9b338f4cad71540656914cdd1b873a3d49a6d3d11,1417
89,backend/migrations/20260423120000-dedupe-renstra-kegiatan-duplicate-kode.js,20260423120000-dedupe-renstra-kegiatan-duplicate-kode.js,20260423120000,ok,20260423100000-create-compliance-snapshot-history.js,repository_lexical_order_only,True,True,,information_schema|renstra_kegiatan|renstra_subkegiatan|renstra_tabel_kegiatan|renstra_tabel_subkegiatan|indikator_renstra|kegiatan,,raw_sql,,raw_destructive_sql,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,cb13e0d636488b2c2ddab8148fe24d4115ccc54674f5a32d3db602c1b05f4e67,4431
90,backend/migrations/20260424093000-add-indikator-kinerja-to-program-kegiatan-sub.js,20260424093000-add-indikator-kinerja-to-program-kegiatan-sub.js,20260424093000,ok,20260423120000-dedupe-renstra-kegiatan-duplicate-kode.js,repository_lexical_order_only,True,True,,,,raw_sql,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,1de47362696d5cf11ee9b5cf0e196e0414f71e887f7aaefda0a21f7bdf297560,2118
91,backend/migrations/20260424103000-renstra-opd-dedupe-is-aktif.js,20260424103000-renstra-opd-dedupe-is-aktif.js,20260424103000,ok,20260424093000-add-indikator-kinerja-to-program-kegiatan-sub.js,repository_lexical_order_only,True,True,,renstra_opd,,raw_sql,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,b7cdb86b654d8dda56feec5d6d778808dd8e5466636c958ecef235082db90297,1297
92,backend/migrations/20260424120000-create-renja-mapping-apply-batch.js,20260424120000-create-renja-mapping-apply-batch.js,20260424120000,ok,20260424103000-renstra-opd-dedupe-is-aktif.js,repository_lexical_order_only,True,True,renja_mapping_apply_batch,renja_mapping_apply_batch,,add_index|create_table|drop_table,,drop_table,index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,cec0d1fcc31f60ccb66d868c52eca35142f14fe936c5b30d150726f75f3d4464,2193
93,backend/migrations/20260424120000-multi-tenant-saas-core.js,20260424120000-multi-tenant-saas-core.js,20260424120000,ok,20260424120000-create-renja-mapping-apply-batch.js,ambiguous_duplicate_prefix,True,True,tenants,tenants|users,users.tenant_id,add_column|add_index|create_table|drop_table|remove_column|remove_index,tenants,drop_table|remove_column|remove_index,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,55cd76566966bc70c0887008224660e98801a99ae570ca3cc42d7638ee03c25f,2696
94,backend/migrations/20260425090000-harden-data-fix-batch-audit-lock.js,20260425090000-harden-data-fix-batch-audit-lock.js,20260425090000,ok,20260424120000-multi-tenant-saas-core.js,repository_lexical_order_only,True,True,renja_data_fix_audit_log|renja_data_fix_doc_lock,renja_data_fix_audit_log|renja_data_fix_doc_lock|renja_mapping_apply_batch,,add_index|create_table|drop_table|raw_sql,,drop_table,index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,326952d4a2181fa5c49c8bd82b20b02273800f8929208bc743225428424cd688,5391
95,backend/migrations/20260425113119-add-unique-index-renstra-chain.js,20260425113119-add-unique-index-renstra-chain.js,20260425113119,ok,20260425090000-harden-data-fix-batch-audit-lock.js,repository_lexical_order_only,True,True,,renstra_kegiatan|renstra_subkegiatan,,add_index|remove_index,,remove_index,index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,174c6c52cd7bc013bc59a47c695b2526fd4dcc763422ee1b4a56ad0f21410b5f,776
96,backend/migrations/20260425130000-saas-tenant-hardening-v2.js,20260425130000-saas-tenant-hardening-v2.js,20260425130000,ok,20260425113119-add-unique-index-renstra-chain.js,repository_lexical_order_only,True,True,tenant_audit_logs|plans|subscriptions,tenant_audit_logs|plans|subscriptions|tenants,tenants.is_active,add_column|add_index|create_table|drop_table|remove_column|remove_index,plans|tenants|users,drop_table|remove_column|remove_index,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,a721ad6c38b20a1ef4be47e31cb072a8d448def7b710719abe3274f2288285c0,5341
97,backend/migrations/20260425140000-ensure-tenants-is-active-column.js,20260425140000-ensure-tenants-is-active-column.js,20260425140000,ok,20260425130000-saas-tenant-hardening-v2.js,repository_lexical_order_only,True,True,,tenants|INFORMATION_SCHEMA,tenants.is_active,add_column|add_index|raw_sql|remove_column|remove_index,,remove_column|remove_index,index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,4db850941fb73aae286de4fe2809a3dcb97eaad465461905726bb5d49c6068e3,1088
98,backend/migrations/20260427144744-create-arah-kebijakan-master-program.js,20260427144744-create-arah-kebijakan-master-program.js,20260427144744,ok,20260425140000-ensure-tenants-is-active-column.js,repository_lexical_order_only,True,True,arah_kebijakan_master_program,arah_kebijakan_master_program,,add_constraint|add_index|create_table|drop_table,,drop_table,foreign_key_or_constraint|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,603a1b6165af9d25885d6be190de0693ca6e1a01864f0c071dd1434ab9be0a78,1832
99,backend/migrations/20260428000156-create-arah-kebijakan-program-mapping.js,20260428000156-create-arah-kebijakan-program-mapping.js,20260428000156,ok,20260427144744-create-arah-kebijakan-master-program.js,repository_lexical_order_only,True,True,arah_kebijakan_program_mapping,arah_kebijakan_program_mapping,,add_constraint|add_index|create_table|drop_table,,drop_table,foreign_key_or_constraint|foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,97429792a7203b236f6659581bbf89e6c0323c4dbdc94d3d965149c96ba184a0,2805
100,backend/migrations/20260428120000-add-tahun-2025-urusan-kinerja.js,20260428120000-add-tahun-2025-urusan-kinerja.js,20260428120000,ok,20260428000156-create-arah-kebijakan-program-mapping.js,repository_lexical_order_only,True,True,,urusan_kinerja_2021_2024,urusan_kinerja_2021_2024.tahun_2025,add_column|remove_column,,remove_column,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,8b0ef96a32e746ef7ffa734d0d8e81330b644a7cdc2b3939838d2654bb3b3b9d,356
101,backend/migrations/20260428120000-planning-audit-rka-dpa.js,20260428120000-planning-audit-rka-dpa.js,20260428120000,ok,20260428120000-add-tahun-2025-urusan-kinerja.js,ambiguous_duplicate_prefix,True,True,planning_audit_events,planning_audit_events|rka|dpa|of,rka.anggaran|dpa.anggaran,add_index|change_column|create_table|drop_table,,drop_table,index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,6913dbe43619946f99640b61730cb61834cd48c17eae1e046977cf945ca92c9b,4114
102,backend/migrations/20260428130000-planning-audit-renja-rkpd.js,20260428130000-planning-audit-renja-rkpd.js,20260428130000,ok,20260428120000-planning-audit-rka-dpa.js,repository_lexical_order_only,True,True,,of,,,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,2013401f6c7d55bf0e721afaa9408a730b41840437be110e989423c6df4e10a0,2570
103,backend/migrations/20260429120000-renstra-rpjmd-audit-pagu.js,20260429120000-renstra-rpjmd-audit-pagu.js,20260429120000,ok,20260428130000-planning-audit-renja-rkpd.js,repository_lexical_order_only,True,True,,renstra|of,renstra.total_pagu,add_column,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,347955d343b62f9cfd4ab07f2d970aaa554d1acc6278f7d98dbb69e13eb8f6e0,3313
104,backend/migrations/20260430140000-planning-audit-snapshot-global-versions.js,20260430140000-planning-audit-snapshot-global-versions.js,20260430140000,ok,20260429120000-renstra-rpjmd-audit-pagu.js,repository_lexical_order_only,True,True,planning_document_versions,planning_document_versions|planning_audit_events,planning_audit_events.snapshot,add_column|add_index|create_table|drop_table|remove_column,,drop_table|remove_column,index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,7d7d680824b754ec2fe8c1d8bbd275534cb753d872d67a0dcd41f365079becff,3851
105,backend/migrations/20260430150000-add-plans-features-json.js,20260430150000-add-plans-features-json.js,20260430150000,ok,20260430140000-planning-audit-snapshot-global-versions.js,repository_lexical_order_only,True,True,,plans,plans.features,add_column|raw_sql|remove_column,,remove_column,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,230db68623b3c876a26ee497180cf1a533fcee73aa0c3e4d42b1274a8628207f,2206
106,backend/migrations/20260430160000-create-rpjmd-malut-pdf-import-tables.js,20260430160000-create-rpjmd-malut-pdf-import-tables.js,20260430160000,ok,20260430150000-add-plans-features-json.js,repository_lexical_order_only,True,True,urusan_kinerja_2021_2024|apbd_proyeksi_2026_2030|rpjmd_target_tujuan_sasaran_2025_2029|arah_kebijakan_rpjmd|iku_rpjmd,urusan_kinerja_2021_2024|apbd_proyeksi_2026_2030|rpjmd_target_tujuan_sasaran_2025_2029|arah_kebijakan_rpjmd|iku_rpjmd,,add_index|create_table|drop_table,periode_rpjmds,drop_table,foreign_key_reference|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,47b49b95b73a7b0ab9e40a813b0aa50dd84283667f75e3e540cef0dfb3e54c30,5969
107,backend/migrations/20260430161000-ensure-enterprise-plan.js,20260430161000-ensure-enterprise-plan.js,20260430161000,ok,20260430160000-create-rpjmd-malut-pdf-import-tables.js,repository_lexical_order_only,True,True,,plans,,raw_sql,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,013f1718c672559d488e80821587c1a64f42ee8ceab1bb5ab34d2ca81b042016,1600
108,backend/migrations/20260501120000-renja-data-fix-mapping-engine.js,20260501120000-renja-data-fix-mapping-engine.js,20260501120000,ok,20260430161000-ensure-enterprise-plan.js,repository_lexical_order_only,True,True,renja_mapping_suggestion_run|renja_mapping_suggestion_result,renja_mapping_suggestion_run|renja_mapping_suggestion_result,,add_index|create_table|drop_table,renja_dokumen|renja_item|renja_mapping_suggestion_run,drop_table,foreign_key_reference|index,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,4cf57fd99d1856851e961b449b26d40fdbb94ebb10f41125152158d3ca214541,6138
109,backend/migrations/20260502100000-fix-tipe-indikator-varchar32.js,20260502100000-fix-tipe-indikator-varchar32.js,20260502100000,ok,20260501120000-renja-data-fix-mapping-engine.js,repository_lexical_order_only,True,True,,of,,,,,,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,e8091d47de92bbb3ed7d176a3e18b4d4747e3e795cd53af8c62c662c2e9548e4,1712
110,backend/migrations/20260502100001-create-renstra-tabel-strategi-dan-arah-kebijakan.js,20260502100001-create-renstra-tabel-strategi-dan-arah-kebijakan.js,20260502100001,ok,20260502100000-fix-tipe-indikator-varchar32.js,repository_lexical_order_only,True,True,renstra_tabel_strategi|renstra_tabel_arah_kebijakan,renstra_tabel_strategi|renstra_tabel_arah_kebijakan,,add_constraint|add_index|create_table|drop_table,,drop_table,foreign_key_or_constraint|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,f67afdc5efd211b4d7b551e89c928d51d98c0e312b69f781949a98d2fae1a23f,7003
111,backend/migrations/20260502142824-create-renstra-pagu-cache.js,20260502142824-create-renstra-pagu-cache.js,20260502142824,ok,20260502100001-create-renstra-tabel-strategi-dan-arah-kebijakan.js,repository_lexical_order_only,True,True,renstra_pagu_cache,renstra_pagu_cache,,add_constraint|add_index|create_table|drop_table,,drop_table,foreign_key_or_constraint|index|unique,Not Verifiable,No sanitized per-environment SequelizeMeta/equivalent export available.,Pending DBA review,bd13b168f9c0d641ae0005867fe200e11df0a55ddc1198342782b4013e6424df,1981
