finding_id,baseline_ids,severity,priority,area,title,root_cause,affected_files,intended_fix,test_required,evidence_required,owner,reviewer,status_before,status_after,residual_risk,commit_refs,evidence_refs,closure_date
AUD-035,AUD-035,High,P1,Security,65 file controller mengirim pesan error database mentah (err.message) langsung ke client,Pola catch(e){res.status(500).json({message:e.message})} bypass global error handler yang sudah aman (hanya kirim pesan generik). Tidak ada perbedaan dev vs production.,"backend/controllers/*.js (65 file: lkBkuController.js, dpaController.js, rkaExportController.js, keluarga lk*Controller.js, renstra_*Controller.js, dll)","Ganti dengan pesan generik + logger.error, atau next(err) ke middleware terpusat. Prioritaskan LK/BKU/DPA/RKA dulu.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-035,
AUD-036,AUD-036,High,P1,Data Integrity,Modul BKU (Buku Kas Umum) — status tutup buku tidak punya audit trail historis; reject menghapus jejak siapa/kapan,"BkuTutupBuku adalah tabel single-row per (tahun,bulan) tanpa tabel History pendamping. Saat ditolak, ditutup_oleh/ditutup_at di-overwrite jadi null — menghapus permanen jejak siapa & kapan pertama kali menutup.",backend/services/bkuTutupBukuService.js:90-101 (tolakBulan); backend/models/bkuTutupBukuModel.js,Tambahkan tabel bku_tutup_buku_log (append-only) atau integrasikan ke ApprovalLog generik yang sudah dipakai modul lain.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-036,
AUD-037,AUD-037,Medium,P2,Correctness,UNIQUE(kode_indikator) global berpotensi bentrok dengan desain unique-key komposit yang dipakai model,"Index unik global per tabel (7 tabel indikator) berbeda dari unique komposit (kode_indikator+tujuan_id+jenis_dokumen+tahun) yang didefinisikan model, yang secara desain mengizinkan kode_indikator sama di tahun berbeda.",backend/migrations/20260218120000-rpjmd-indikator-kode-dedupe-unique.js:36-42,Migrasi DROP INDEX eksplisit untuk uniq_kode_indikator_rpjmd_import bila memang tidak diinginkan lagi.,Insert kode_indikator sama 2 tahun berbeda harus sukses.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-037,
AUD-038,AUD-038,Medium,P2,Data Integrity,Mass assignment — opd_id & anggaran DPA/RKA diterima langsung dari client saat create,"Skema Joi create mengizinkan opd_id dikirim client, boundary hanya diterapkan di update/destroy (via row yang sudah ada) bukan di create. anggaran DPA tidak dipaksa dihitung ulang server-side seperti RKA.","backend/controllers/dpaController.js:84-146,862-927; backend/controllers/rkaController.js:138-211",Derive opd_id dari req.user.opd pada create (non-SUPER_ADMIN); hitung anggaran DPA server-side dari RKA sumber.,ADMIN OPD A create dengan opd_id OPD B → ditolak/di-override.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-038,
AUD-039,AUD-039,Medium,P2,Security,Upload berkas tanpa filter tipe/ukuran + folder /uploads di-serve publik tanpa auth,multer dikonfigurasi tanpa fileFilter/limits.fileSize. /uploads di-serve statis & publik tanpa middleware auth sama sekali — dokumen bukti dukung/TLHP/keuangan bisa diunduh siapa pun yang tahu URL.,"backend/middlewares/upload.js; backend/server.js:447 (app.use('/uploads', express.static(...)))",Tambahkan fileFilter (whitelist + magic bytes) & limits.fileSize; pindahkan /uploads ke endpoint terautentikasi.,Upload .html/.svg ke import-pdf ditolak 400; upload >X MB ditolak.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-039,
AUD-040,AUD-040,Medium,P3,Correctness,"Kalkulasi anggaran/saldo RKA/DPA/BKU/LK pakai Number() JS biasa, bukan decimal.js",decimal.js tersedia sebagai dependency (dipakai di Renstra) tapi tidak dipakai di jalur uang RKA/DPA/BKU/LK — semua pakai Number()/reduce floating point dengan toleransi manual (TOL=0.01) sebagai tambal-sulam.,backend/services/bkuJurnalService.js; backend/controllers/lkJurnalController.js; backend/controllers/dpaPergeseranController.js; backend/services/lkSaldoService.js,Gunakan decimal.js konsisten pada seluruh operasi nominal keuangan.,"Simulasi 1000+ transaksi kecil, saldo akumulatif = jumlah eksak tanpa toleransi.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-040,
AUD-041,AUD-041,Medium,P2,Security,Role PENGAWAS diberi akses WRITE penuh di modul LK — potensi pelanggaran segregation-of-duties,"LK_WRITE = [SUPER_ADMIN, ADMINISTRATOR, PENGAWAS] dipakai untuk create/post jurnal, create/update/destroy BKU, generate LRA/Neraca/LO/LPE/LAK — berbeda dari modul lain di mana PENGAWAS hanya baca.",backend/routes/lkAccountingRoutes.js:29 (LK_WRITE),"Klarifikasi ke produk apakah disengaja; jika tidak, pisahkan LK_WRITE dari role PENGAWAS.",Role PENGAWAS POST /jurnal & /bku → 403 (jika dimaksud read-only).,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-041,
AUD-042,AUD-042,Medium,P2,Performance,N+1 query pada preview/commit sinkronisasi RPJMD→RKPD,"Untuk setiap sub_kegiatan dalam loop bersarang Program→Kegiatan→SubKegiatan, dijalankan hingga 3 query findOne terpisah sequential, tidak dibatch.",backend/services/rpjmdRkpdSyncService.js:1090-1205 (buildPlansRkpdRows),"Prefetch semua kandidat existing sekali per periode dengan Op.in, lookup di memory.",Ukur waktu preview dataset besar sebelum/sesudah; jumlah query tidak bertumbuh linear.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-042,
AUD-043,AUD-043,Medium,P2,Security,Sanitasi/masking payload provider narasi LLM eksternal (uang & nomor dokumen) adalah dead code pada jalur produksi,"sanitizeProviderPayload() hanya dipakai jika servicePrompt tidak diisi; satu-satunya pemanggil nyata selalu membangun prompt sendiri tanpa masking, sehingga sanitizer tidak pernah tereksekusi di jalur produksi.",backend/services/mr/narrativeProviders/ollamaNarrativeProvider.js:221-234; backend/services/mr/mrNarrativeDraftService.js:543-551,Terapkan sanitizeProviderPayload() pada prompt string final sebelum dikirim ke provider eksternal.,"Mock MASK_MONEY=true, assert prompt terkirim tidak mengandung angka rupiah mentah.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-043,
AUD-044,AUD-044,Medium,P2,Reliability,mrSensitiveLimiter tidak menutupi mayoritas endpoint MR-Planning termasuk import PDF TLHP yang berat komputasi,"Rate limiter hanya dipasang di 5 dari ~15 prefix mr-planning-*; endpoint import PDF (parsing CPU-intensive, file s/d 15MB) tidak ter-cover sama sekali.","backend/server.js:208-224,556-567; backend/routes/mr_planningTlhpImportRoutes.js:21-51",Perluas mrSensitiveLimiter ke /api/mr-planning-tlhp-import minimal.,Header RateLimit-* muncul pada endpoint tersebut.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-044,
AUD-045,AUD-045,Medium,P2,Security,9 model ProSN punya tenant_id tapi tidak masuk whitelist isolasi tenant otomatis,"ProsnCadanganTarget, ProsnInovasi, ProsnRapatForkopimda, ProsnSuratPenugasan, ProsnIndikatorKontributor, ProsnLaporanSatgasMbg, ProsnSarprasKomponenMbg, ProsnSatgasMbg, ProsnStokTransaksi punya tenant_id NOT NULL tapi absen dari whitelist. Verifikasi manual: query yang diperiksa sudah tenant-filtered manual, jadi TIDAK ada kebocoran aktif saat ini.",backend/lib/tenantSequelizeHooks.js:7-34 (TENANTED_MODEL_NAMES),Tambahkan 9 model ke TENANTED_MODEL_NAMES — perubahan additive berisiko rendah.,Jalankan self-test ProSN existing setelah perubahan.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-045,
AUD-046,AUD-046,Medium,P2,Security,Tidak ada helmet/security headers middleware; X-Powered-By masih terbuka,"Tidak ada X-Content-Type-Options, X-Frame-Options/CSP, HSTS, Referrer-Policy. Express masih kirim X-Powered-By: Express default.",backend/server.js (tidak ada require('helmet')),Tambahkan helmet() di awal middleware chain + app.disable('x-powered-by').,curl -I verifikasi header respons setelah penambahan.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-046,
AUD-047,AUD-047,Medium,P2,Security,"Token akses dikirim via query string (?_token=) untuk endpoint preview/export lintas modul, tercatat permanen di server log","4 file (LAKIP x2, LK, DPA) membangun URL preview dengan JWT mentah di query _token, dibuka via window.open. Backend menerima ini sebagai kredensial sah; morgan mencatat URL lengkap ke Winston log tanpa syarat environment.",frontend/src/features/lakip/components/LakipGeneratorPanel.jsx:82-83; frontend/src/features/lk/services/lkApi.js:394-399; backend/middlewares/verifyToken.js:136; backend/server.js:229-233 (morgan tanpa guard env),"Ganti ke short-lived signed preview token per-request, atau cookie httpOnly untuk endpoint preview; redaksi _token/Authorization di format morgan.",URL preview tidak lagi memuat JWT sesi utuh.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-047,
AUD-048,AUD-048,Medium,P1,Security,DOMPurify — banyak bypass XSS/prototype pollution,">15 advisory pada dompurify <=3.4.12 termasuk bypass FORBID_TAGS, IN_PLACE mode XSS, permanent pollution via hook mutation.","frontend/package.json (dompurify@^3.1.3, installed 3.2.6)",Upgrade ke 3.4.14 (wanted/latest) — risiko breaking rendah.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-048,
AUD-049,AUD-049,Medium,P2,Test Coverage,tenantProvisioningVisibilitySelfTest.js — 6 dari ~15 test hanya menguji reimplementasi lokal,aggregateProvisioningResult() ditulis ulang lokal dan dipakai untuk beberapa test tanpa static assertion pembanding ke implementasi asli — berbeda dari test #6-8 di file yang sama yang benar melakukan static-source-check.,backend/scripts/tenantProvisioningVisibilitySelfTest.js:59-119,"Tambahkan static assertion pembanding logika asli, mengikuti pola test #6-8.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-049,
AUD-050,AUD-050,Medium,P1,Test Coverage,renjaStatusSyncSelfTest.js (dijalankan wajib di CI) memuat 1 test vacuous,12 dari 13 test benar memanggil service produksi asli; 1 test precedence menulis ulang STATUS_RANK inline tanpa memanggil resolveCurrentWorkflowStatus() dari renjaController.js.,backend/scripts/renjaStatusSyncSelfTest.js:76-86,Ekspor/panggil resolveCurrentWorkflowStatus() langsung dari renjaController.js dalam test ini.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-050,
AUD-051,AUD-051,Medium,P2,Test Coverage,Tidak ditemukan cakupan test untuk XSS/output-sanitization dan concurrency/double-submit di seluruh 146 script,"Pencarian kata kunci xss/sanitiz/script>, concurren/race condition/double-submit tidak menemukan test dedicated untuk kategori ini di 146 file.",backend/scripts/ (seluruh direktori),Tambahkan self-test dedicated untuk sanitasi output & idempotency endpoint approval kritis.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-051,
AUD-052,AUD-052,Medium,P2,Reliability,"Redis exit-process di production tidak sinkron startup, terlalu agresif untuk pemakaian non-kritis","server.listen() dipanggil tanpa menunggu IIFE Redis; setelah retry ~30 detik gagal, process.exit(1) tanpa graceful shutdown. Satu-satunya pemakai Redis adalah cache idempotency auto-clone non-kritis (sudah defensif via safeGet/safeSet).","backend/server.js:19-33,689-692; backend/utils/redisClient.js:53-69; backend/utils/autoCloneHelper.js","Await Redis sebelum server.listen(), ATAU turunkan dari 'wajib exit' ke 'degraded mode' mengingat pemakaian saat ini non-kritis.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-052,
AUD-053,AUD-053,Medium,P2,Maintainability,Global error handler tidak menyertakan request_id/correlation_id,"Middleware logging sukses mencatat request_id konsisten; global error handler tidak menyertakannya di logger.error(), memutus traceability saat investigasi insiden.",backend/server.js:652-661,Sertakan req.request_id/correlation_id di payload logger.error().,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-053,
AUD-054,AUD-054,Medium,P2,Data Integrity,Pola findOrCreate tersebar luas (97 pemakaian/25 file) — atomicity bergantung unique constraint DB yang tidak diverifikasi seragam,findOrCreate hanya atomik jika kolom where dilindungi unique index — tidak diverifikasi satu per satu apakah semua 97 pemakaian benar-benar didukung constraint di migration terkait.,"backend/services/{derivationEngineService,autoCloneProgramService,importSheet2NormalizedService}.js dan 22 file lain","Audit lanjutan terfokus: sampling 5-10 pemakaian di modul derivation/auto-clone, verifikasi unique constraint.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-054,
AUD-055,AUD-055,Medium,P2,Maintainability,Package dependency dengan gap versi major besar pada area security-sensitive,"Gap current vs latest besar pada dependency auth/crypto/upload/parsing: multer 1.4.5→2.3.0, joi 17→18, pdf-parse 1.1.1→2.4.5, pdfjs-dist 4.6.82→5.6.205, openai 5.3.0→6.49.0.","backend/package.json (multer, ioredis, redis, joi, pdf-parse, pdfjs-dist, openai)",Rencanakan upgrade major terpisah dengan testing regresi modul RKA Import PDF SIPD dan TLHP.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-055,
AUD-056,AUD-056,Low,P3,Security,"Token JWT dapat dikirim lewat query string (?_token=), rawan bocor lewat log/referrer/riwayat browser",verifyToken menerima token dari req.query._token selain Bearer/cookie — jalur kebocoran tambahan (lihat juga AUD-047 sisi frontend yang memanfaatkan jalur ini).,backend/middlewares/verifyToken.js:136,"Hilangkan dukungan _token di query string jika tidak esensial, atau ganti token sekali-pakai berumur pendek.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-056,
AUD-057,AUD-057,Low,P3,Reliability,trust proxy tidak dikonfigurasi di Express,"Tanpa app.set('trust proxy', ...), rate limiter & req.protocol tidak akurat di belakang reverse proxy/load balancer.",backend/server.js,"Set app.set('trust proxy', 1) jika ada reverse proxy di depan Node.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-057,
AUD-058,AUD-058,Low,P3,Security,User enumeration pada endpoint login,Pesan error berbeda untuk email tidak terdaftar vs password salah — berbeda dari forgotPassword yang sudah pakai pesan generik.,backend/controllers/authController.js:171-176,Samakan pesan jadi generik untuk kedua kasus.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-058,
AUD-059,AUD-059,Low,P3,Security,Refresh token tidak dirotasi dan tidak ada mekanisme revocation/blacklist saat logout,logout hanya clearCookie; token JWT tetap valid kriptografis sampai expiry alami meski user sudah logout. Redis tersedia tapi belum dipakai untuk denylist.,"backend/controllers/authController.js:252-291,415-429",Implementasikan refresh token rotation + denylist via Redis.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-059,
AUD-060,AUD-060,Low,P3,Reliability,"check:db-schema hanya memverifikasi 4 tabel inti, tidak representatif untuk ~200 model","REQUIRED_SCHEMA hanya users/roles/divisions/periode_rpjmds. Modul MR (~50 tabel), ProSN, RKA/DPA/LK/BMD tidak dicek sama sekali.",backend/scripts/checkDbSchema.js:28-56,"Generate REQUIRED_SCHEMA otomatis dari models/index.js, atau tambahkan tabel kritis per modul.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-060,
AUD-061,AUD-061,Low,P3,Data Integrity,Skema input transaksi manual Penatausahaan tidak menolak jumlah negatif,jumlah: Joi.number().required() tanpa .positive()/.min(0).,backend/controllers/penatausahaanController.js:9-32,"Tambahkan .min(0), atau sediakan mekanisme reversal eksplisit terpisah.",POST/PUT jumlah=-100000 ditolak 400.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-061,
AUD-062,AUD-062,Low,P3,Security,renstra_subkegiatanController.delete tidak memanggil boundary check yang sudah didefinisikan di file yang sama,"exports.update memanggil assertRenstraSubkegiatanOpdBoundary, exports.delete tidak. Dampak saat ini terbatas karena route DELETE sudah SUPER_ADMIN-only.",backend/controllers/renstra_subkegiatanController.js:560-573,Tambahkan pemanggilan boundary check untuk konsistensi/pertahanan berlapis.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-062,
AUD-063,AUD-063,Low,P3,Data Integrity,Tidak ada row-level locking pada validasi state sebelum update Temuan/Rekomendasi/Tindak Lanjut,findByPk untuk baca record sebelum validasi state tidak memakai lock:transaction.LOCK.UPDATE — dua request submit/approve bersamaan bisa lolos validasi berdasarkan snapshot yang sama.,"backend/services/mr/mrPlanningTindakLanjutService.js:160-171,288-358; mrPlanningTemuanService.js","Tambahkan lock:transaction.LOCK.UPDATE, atau optimistic locking via kolom versi yang sudah ada.","Dua Promise paralel submit pada id sama, hanya satu berhasil transisi.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-063,
AUD-064,AUD-064,Low,P3,Security,Enkripsi kredensial Account Registry pakai AES-256-CBC tanpa autentikasi integritas,aes-256-cbc dengan IV acak per-record tapi tanpa MAC/tag autentikasi (bukan AES-GCM). Risiko praktis rendah karena ciphertext hanya dari DB milik server sendiri.,backend/services/accountEncryptionService.js:52-120,Migrasi ke aes-256-gcm untuk record baru.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-064,
AUD-065,AUD-065,Low,P3,Correctness,NotificationProvider reconnect socket + refetch tiap kali objek user berubah (bukan hanya login/logout),"Dependency array useEffect memasukkan objek user utuh (bukan user?.id) — auto-refresh token 55 menit membuat objek user baru, memicu reconnect socket tiap siklus.",frontend/src/contexts/NotificationProvider.jsx:16-41,"Ubah dependency ke [userReady, user?.id, user?.role].",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-065,
AUD-066,AUD-066,Low,P3,Security,Rantai nanoid lemah dibawa oleh docx (kedua app),nanoid <=3.3.17 / 4.0.0-5.1.15 rentan infinite loop pada generator non-secure dengan size negatif/nol.,backend/package.json & frontend/package.json (docx -> node_modules/docx/node_modules/nanoid),"fixAvailable true, kemungkinan resolve otomatis lewat update docx.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-066,
AUD-067,AUD-067,Low,P3,Test Coverage,signPdfOutputContractSelfTest.js & signPdfSecuritySelfTest.js menyalin fungsi murni tanpa guard drift otomatis,"Fungsi ditulis ulang lokal karena controller tidak mengekspornya. Saat ini terverifikasi identik manual, tapi tidak ada assertion otomatis pembanding.",backend/scripts/signPdfOutputContractSelfTest.js:74-91; signPdfSecuritySelfTest.js:129-136,"Ekspor fungsi dari controller untuk testing, atau tambahkan static-source assertion.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-067,
AUD-068,AUD-068,Low,P3,Maintainability,renjaGovernanceIntegrationTest.js memuat fallback path node.exe hardcode ke mesin developer tertentu,Path absolut spesifik satu mesin developer ter-commit ke repo sebagai fallback process.execPath.,backend/scripts/renjaGovernanceIntegrationTest.js:11-13,"Hapus fallback hardcoded, throw error jelas.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-068,
AUD-069,AUD-069,Low,P3,Security,"console.log mencetak req.body mentah, berpotensi lolos ke stdout produksi tanpa redaksi","console.log(req.body) tidak masuk Winston (Console transport hanya non-production) tapi tetap menulis ke stdout proses, biasa ditangkap process manager tanpa redaksi.",backend/controllers/indikatorWizardController.js:53; backend/utils/entityValidator.js:7,Hapus atau ganti logger.debug dengan field non-sensitif.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-069,
AUD-070,AUD-070,Low,P3,Reliability,"activityCtrl.js memanggil io tanpa null-check/try-catch, berbeda dari pola aman notificationService.js","req.app.get('io').to(activity.role).emit(...) tanpa null-check, berbeda dari notificationService.js yang membungkus if(io){...} + try/catch.",backend/controllers/activityCtrl.js:22,Samakan pola dengan notificationService.js.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-070,
AUD-071,AUD-071,Informational,P3,Security,"Migrasi account_registry menambah modul penyimpanan kredensial personal, key enkripsi tidak didokumentasikan di .env.example","ACCOUNT_ENCRYPTION_KEY tidak terdaftar di .env.example, risiko operasional saat provisioning environment baru.",backend/migrations/20260809100001-account-registry-table.js; backend/services/accountEncryptionService.js:30,Tambahkan ACCOUNT_ENCRYPTION_KEY= placeholder ke .env.example dengan komentar cara generate.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-071,
AUD-072,AUD-072,Informational,P3,Maintainability,"mrIntegrityScanService adalah scanner on-demand, bukan proses latar terjadwal",Tidak ada tulis-ke-DB atau penjadwalan; scan hanya jalan saat dipanggil eksplisit lewat endpoint/fitur terkait.,backend/services/mr/mrIntegrityScanService.js:208-343,Pertimbangkan penjadwalan berkala via node-cron (sudah dependency) jika pemantauan proaktif dibutuhkan.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-072,
AUD-073,AUD-073,Informational,P3,Correctness,Konfirmasi: provider openai pada narrativeProviderFactory MR belum punya adapter (klaim CLAUDE.md akurat),"Fallback ke rule_enhanced dengan alasan eksplisit 'adapter belum diimplementasikan'. Integrasi OpenAI nyata ada di modul lain (rekomendasiAIRoutes.js, RPJMD) — tidak berkontradiksi.",backend/services/mr/narrativeProviders/narrativeProviderFactory.js:74-96,Tidak ada tindakan diperlukan.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-073,
AUD-074,AUD-074,Informational,P2,Maintainability,CLAUDE.md menyatakan tenant isolation 'global' padahal implementasinya whitelist per-model — berkontribusi ke AUD-004,"Dokumentasi proyek membuat kesan isolasi tenant otomatis berlaku ke semua model, padahal hanya ~24 dari ~200 model yang di-whitelist.",CLAUDE.md; backend/lib/tenantSequelizeHooks.js,"Perbarui CLAUDE.md, tambahkan checklist 'tambah tenant_id + daftarkan model' ke proses pembuatan modul baru.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-074,
AUD-075,AUD-075,Informational,P3,Security,Access token di localStorage meski infrastruktur cookie httpOnly sudah ada di backend,"Backend sudah set cookie httpOnly+secure+sameSite=strict, tapi token yang sama juga dikirim di body JSON dan disimpan ke localStorage — desain hybrid yang membuat cookie httpOnly mubazir (sama dengan AUD-014, dicatat terpisah dari sisi arsitektur).",backend/controllers/authController.js:126-137; frontend AuthProvider.jsx/api.js,Rencana migrasi arsitektural terpisah — pilih satu jalur (cookie httpOnly saja).,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-075,
AUD-076,AUD-076,Informational,P3,Maintainability,console.log tersebar mencetak objek respons API mentah di banyak komponen frontend,"Selain AUD-027, banyak file lain mencetak user/res.data tanpa guard environment; vite.config.js tidak strip console di build produksi.","GuestRoute.jsx:8; fetchWithLog.js:24; useFilteredDokThn.js:70; SasaranList.jsx:145,159 dan >10 file lain","Tambahkan esbuild:{drop:['console','debugger']} di vite.config.js (satu perbaikan menutup kategori ini + AUD-027).",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-076,
